Date,Adani enterprises_Open,Adani enterprises_High,Adani enterprises_Low,Adani enterprises_Close,Adani enterprises_Adj Close,Adani enterprises_Volume,D-mart_Open,D-mart_High,D-mart_Low,D-mart_Close,D-mart_Adj Close,D-mart_Volume,,,,,,,,,,,,,,,
18-02-2022,1739,1754.6,1725,1736.3,1735.56,945100,4098,4121,4056.05,4073.1,4073.1,169496,,,,,,,,,,,,,,,
21-02-2022,1738.800049,1738.8,1671.3,1685.2,1684.48,1449291,4048,4170,3990,4096.6,4096.6,480541,,,,,,,,,,,,,,,
22-02-2022,1636.099976,1678.9,1630,1667.7,1666.99,1717579,4001,4179,3990,4157.1,4157.1,484781,,,,,,,,,,,,,,,
23-02-2022,1682,1717.5,1670,1688.7,1687.98,1285012,4165,4217.7,4135,4193.45,4193.45,360454,,,,,,,,,,,,,,,
24-02-2022,1626,1648.6,1528.8,1543.95,1543.29,2798065,3993.85,4131.95,3947.85,4014.65,4014.65,552288,,,,,,,,,,,,,,,
25-02-2022,1594,1638.1,1578.8,1618.7,1618.01,1741584,4080,4210,4037.65,4190.75,4190.75,425226,,,,,,,,,,,,,,,
28-02-2022,1603.75,1651.1,1592.25,1644.45,1643.75,1869037,4155,4355,4062.1,4340.35,4340.35,647569,,,,,,,,,,,,,,,
02-03-2022,1638,1664.25,1615.5,1641.8,1641.1,1249817,4299.95,4446.95,4270,4295.15,4295.15,479507,,,,,,,,,,,,,,,
03-03-2022,1670,1678.2,1634.95,1643.8,1643.1,1333325,4370,4395,4253.9,4276.5,4276.5,303425,,,,,,,,,,,,,,,
04-03-2022,1621.800049,1655.5,1601.2,1615,1614.31,1433490,4260.2,4260.2,4075.05,4110.2,4110.2,437691,,,,,,,,,,,,,,,
07-03-2022,1590,1592,1539.3,1564.05,1563.39,1508821,4001,4175,3970.8,3991.65,3991.65,694633,,,,,,,,,,,,,,,
08-03-2022,1574.900024,1607.4,1553.4,1601.6,1600.92,1396347,4016,4160,3992.4,4124,4124,713004,,,,,,,,,,,,,,,
09-03-2022,1609.599976,1669.95,1608,1656.55,1655.85,1498176,4155,4172.9,4071.1,4096.7,4096.7,395071,,,,,,,,,,,,,,,
10-03-2022,1682,1749.6,1678.25,1742.85,1742.11,2294474,4210,4239.9,4142.3,4168.6,4168.6,439778,,,,,,,,,,,,,,,
11-03-2022,1750,1757,1721.2,1734.1,1733.36,1354129,4167,4210,4109.25,4198.95,4198.95,387534,,,,,,,,,,,,,,,
14-03-2022,1732,1752.45,1722.45,1736.1,1735.36,659190,4190,4218,4150,4168.25,4168.25,305326,,,,,,,,,,,,,,,
15-03-2022,1740,1754.2,1686.65,1701.4,1700.68,1085901,4191,4251,4171.75,4231.05,4231.05,560819,,,,,,,,,,,,,,,
16-03-2022,1724,1764,1718.65,1758,1757.25,1269866,4229.75,4243.6,4153,4169.55,4169.55,470355,,,,,,,,,,,,,,,
17-03-2022,1775.599976,1823.6,1760,1819.65,1818.88,2392329,4218,4239,4166.1,4192.75,4192.75,608024,,,,,,,,,,,,,,,
21-03-2022,1836.050049,1841.9,1796.15,1802.95,1802.18,1081052,4217,4217,4080.6,4095.2,4095.2,370641,,,,,,,,,,,,,,,
22-03-2022,1802.949951,1837,1790,1831.55,1830.77,964066,4129,4129,4031,4054,4054,396898,,,,,,,,,,,,,,,
23-03-2022,1848.050049,1848.05,1800.85,1811,1810.23,1553366,4085.7,4119,4064.6,4091.35,4091.35,285639,,,,,,,,,,,,,,,
24-03-2022,1815,1839.55,1800.15,1832.8,1832.02,1030145,4086.25,4086.25,4031.55,4042.85,4042.85,374573,,,,,,,,,,,,,,,
25-03-2022,1835.550049,1878,1822,1867,1866.21,1366115,4069,4069,3995,4001.3,4001.3,440558,,,,,,,,,,,,,,,
28-03-2022,1876.900024,1924.4,1851.05,1909.7,1908.89,1895438,4005.15,4021,3975.05,4010.05,4010.05,428027,,,,,,,,,,,,,,,
29-03-2022,1919.25,1930.9,1885.5,1917.25,1916.44,1715098,4010.05,4037.8,3985,4006.1,4006.1,397614,,,,,,,,,,,,,,,
30-03-2022,1927.699951,2015,1917.3,1995.25,1994.4,3215951,4025,4084,3945,3973.4,3973.4,580732,,,,,,,,,,,,,,,
31-03-2022,2005,2042,1991,2014.75,2013.89,2786973,4028,4040,3983.05,4003.35,4003.35,492437,,,,,,,,,,,,,,,
01-04-2022,2018,2049,2013.05,2043.65,2042.78,1267111,4013,4093,4000,4082.2,4082.2,416596,,,,,,,,,,,,,,,
04-04-2022,2050,2075.5,2032,2065.85,2064.97,1334265,4120,4150,4076.15,4106.65,4106.65,438581,,,,,,,,,,,,,,,
05-04-2022,2078,2189.8,2067.6,2139.85,2138.94,4970260,4138.75,4148,4100,4109.7,4109.7,277248,,,,,,,,,,,,,,,
06-04-2022,2153.75,2182.85,2124.2,2160,2159.08,2259018,4090,4139.8,4085.6,4101.9,4101.9,218183,,,,,,,,,,,,,,,
07-04-2022,2165.949951,2214.95,2081.25,2099.05,2098.16,3499044,4099.9,4244,4092,4159.7,4159.7,979784,,,,,,,,,,,,,,,
