Date, ,High,Low,Close,Adj Close,Volume,,,,
18-02-2022,4098,4121,4056.050049,4073.100098,4073.100098,169496,,,,
21-02-2022,4048,4170,3990,4096.600098,4096.600098,480541,,,,
22-02-2022,4001,4179,3990,4157.100098,4157.100098,484781,,,,
23-02-2022,4165,4217.700195,4135,4193.450195,4193.450195,360454,,,,
24-02-2022,3993.850098,4131.950195,3947.850098,4014.649902,4014.649902,552288,,,,
25-02-2022,4080,4210,4037.649902,4190.75,4190.75,425226,,,,
28-02-2022,4155,4355,4062.100098,4340.350098,4340.350098,647569,,,,
02-03-2022,4299.950195,4446.950195,4270,4295.149902,4295.149902,479507,,,,
03-03-2022,4370,4395,4253.899902,4276.5,4276.5,303425,,,,
04-03-2022,4260.200195,4260.200195,4075.050049,4110.200195,4110.200195,437691,,,,
07-03-2022,4001,4175,3970.800049,3991.649902,3991.649902,694633,,,,
08-03-2022,4016,4160,3992.399902,4124,4124,713004,,,,
09-03-2022,4155,4172.899902,4071.100098,4096.700195,4096.700195,395071,,,,
10-03-2022,4210,4239.899902,4142.299805,4168.600098,4168.600098,439778,,,,
11-03-2022,4167,4210,4109.25,4198.950195,4198.950195,387534,,,,
14-03-2022,4190,4218,4150,4168.25,4168.25,305326,,,,
15-03-2022,4191,4251,4171.75,4231.049805,4231.049805,560819,,,,18-02-2023
16-03-2022,4229.75,4243.600098,4153,4169.549805,4169.549805,470355,,,Open,#N/A
17-03-2022,4218,4239,4166.100098,4192.75,4192.75,608024,,,High,3567.699951
21-03-2022,4217,4217,4080.600098,4095.199951,4095.199951,370641,,,Low,3515
22-03-2022,4129,4129,4031,4054,4054,396898,,,52 Week HIGH,4609
23-03-2022,4085.699951,4119,4064.600098,4091.350098,4091.350098,285639,,,52 Week Low,3186
24-03-2022,4086.25,4086.25,4031.550049,4042.850098,4042.850098,374573,,,,
25-03-2022,4069,4069,3995,4001.300049,4001.300049,440558,,,,
28-03-2022,4005.149902,4021,3975.050049,4010.050049,4010.050049,428027,,,,
29-03-2022,4010.050049,4037.800049,3985,4006.100098,4006.100098,397614,,,,
30-03-2022,4025,4084,3945,3973.399902,3973.399902,580732,,,,
31-03-2022,4028,4040,3983.050049,4003.350098,4003.350098,492437,,,,
01-04-2022,4013,4093,4000,4082.199951,4082.199951,416596,,,,
04-04-2022,4120,4150,4076.149902,4106.649902,4106.649902,438581,,,,
05-04-2022,4138.75,4148,4100,4109.700195,4109.700195,277248,,,,
06-04-2022,4090,4139.799805,4085.600098,4101.899902,4101.899902,218183,,,,
07-04-2022,4099.899902,4244,4092,4159.700195,4159.700195,979784,,,,
08-04-2022,4165,4208,4118,4146.25,4146.25,358035,,,,
11-04-2022,4136.799805,4200,4130.049805,4171.600098,4171.600098,202944,,,,
12-04-2022,4174.950195,4174.950195,4075,4088.699951,4088.699951,228548,,,,
13-04-2022,4101,4117.950195,4081.699951,4090.899902,4090.899902,157516,,,,
